
========== SHEET: 角色素材 (cols=9 rows=56) ==========
HEADER: 🎮 梦境逐影 v3 · 角色与怪物素材 |  |  |  |  |  |  |  | 
? :: 像素风 · 社畜梦境主题 · 尺寸已统一为130×250比例（Boss为2倍260×500） |  |  |  |  |  |  |  | 
? :: 编号 | 素材名称 | 英文名称 | 类型 | 尺寸(px) | 帧数 | 动画说明 | 所属分类 | 完成状态
A-001 :: A-001 | 弥绘·待机 | Miai Idle | 角色动画 | 130×250 | 4帧 | 上下轻微浮动，耳朵微动 | 主角·弥绘 | □
A-002 :: A-002 | 弥绘·行走 | Miai Walk | 角色动画 | 130×250 | 6帧 | 四方向行走循环 | 主角·弥绘 | □
A-003 :: A-003 | 弥绘·跑步 | Miai Run | 角色动画 | 130×250 | 6帧 | 速度更快，身体前倾 | 主角·弥绘 | □
A-004 :: A-004 | 弥绘·跳跃 | Miai Jump | 角色动画 | 130×250 | 3帧 | 起跳/飞行/落地 | 主角·弥绘 | □
A-005 :: A-005 | 弥绘·受击 | Miai Hurt | 角色动画 | 130×250 | 2帧 | 闪白+后仰 | 主角·弥绘 | □
A-006 :: A-006 | 弥绘·死亡 | Miai Death | 角色动画 | 130×250 | 5帧 | 倒地，星星散开 | 主角·弥绘 | □
A-007 :: A-007 | 弥绘·攻击前摇 | Miai Attack Windup | 角色动画 | 130×250 | 4帧 | 举起武器动作 | 主角·弥绘 | □
A-008 :: A-008 | 弥绘·终极技能 | Miai Ultimate Skill | 角色动画 | 130×250 | 8帧 | 全身光晕扩散，张嘴吞噬 | 主角·弥绘 | □
A-009 :: A-009 | 弥绘·Lv26真形待机 | Miai True Form Idle | 角色动画 | 130×250 | 4帧 | 散发星光光晕版待机 | 主角·弥绘 | □
A-010 :: A-010 | 弥绘·庆生外观(皮肤) | Miai Birthday Skin | 角色动画 | 130×250 | 替换 | 戴派对帽，法杖换蛋糕造型 | 主角·弥绘 | □
A-011 :: A-011 | 弥绘持法杖姿势叠加层 | Miai Staff Pose Overlay | 角色动画 | 130×250 | 叠加层 | 与行走叠加使用 | 武器姿态 | □
A-012 :: A-012 | 弥绘持剑姿势叠加层 | Miai Sword Pose Overlay | 角色动画 | 130×250 | 叠加层 | 近战持剑叠加 | 武器姿态 | □
